Parties,Operations,Time
5,500,15.227340459823608
5,100,7.342487812042236
5,10,6.638723611831665
2,1000,15.552427053451538
2,500,11.364933967590332
2,100,7.609832763671875
2,10,5.1878886222839355
100,1000,477.7403383255005
100,500,177.15056848526
100,100,58.141844272613525
100,10,27.486003637313843
20,1000,65.0964891910553
20,500,35.31791973114014
20,100,12.506755352020264
20,10,6.447234392166138
10,1000,35.610021352767944
10,500,20.264060735702515
10,100,7.829326868057251
10,10,5.619946241378784
5,1000,21.82507061958313
5,500,12.179275751113892
5,100,6.701687574386597
5,10,6.255870819091797
2,1000,11.498554468154907
2,500,8.666197061538696
2,100,5.975384712219238
2,10,5.335400342941284
100,1000,297.46700859069824
100,500,168.65938138961792
100,100,49.47481417655945
100,10,25.032921314239502
20,1000,54.16861939430237
20,500,30.273303747177124
20,100,11.476322174072266
20,10,6.205635070800781
10,1000,30.380205869674683
10,500,17.923520803451538
10,100,7.816792011260986
10,10,6.691380262374878
5,1000,17.592958211898804
5,500,11.491368770599365
5,100,7.596581935882568
5,10,5.408406734466553
2,1000,11.470571994781494
2,500,8.275752305984497
2,100,6.875543117523193
2,10,5.301245927810669
100,1000,297.9378685951233
100,500,163.6273899078369
100,100,53.74441170692444
100,10,26.47374200820923
20,1000,60.421608686447144
20,500,32.40998101234436
20,100,10.601638317108154
20,10,6.262429237365723
10,1000,31.442962884902954
10,500,19.032525777816772
10,100,7.72754693031311
10,10,5.596571922302246
5,1000,18.66315984725952
5,500,11.714182376861572
5,100,6.471783399581909
5,10,5.509000778198242
2,1000,12.286134481430054
2,500,8.223724365234375
2,100,5.928842067718506
2,10,5.087653636932373
100,1000,348.01088070869446
100,1000,488.43560576438904
100,500,273.8093569278717
100,100,88.1141619682312
100,10,44.759578227996826
20,1000,95.94739937782288
20,500,51.2303900718689
20,100,14.820187091827393
20,10,7.166242361068726
10,1000,50.35616707801819
10,500,28.146028995513916
10,100,9.56821060180664
10,10,5.892065048217773
5,1000,28.716670036315918
5,500,17.28160810470581
5,100,7.3411431312561035
5,10,5.554838418960571
2,1000,17.105860710144043
2,500,10.245666027069092
2,100,6.252284526824951
2,10,5.33144736289978
100,1000,326.0621633529663
100,500,181.4177222251892
100,100,58.82270050048828
100,10,30.284732341766357
20,1000,66.09412598609924
20,500,35.10757899284363
20,100,11.30808687210083
20,10,6.436270236968994
10,1000,34.30355882644653
10,500,20.41921043395996
10,100,8.07370114326477
10,10,5.632619142532349
5,1000,19.927214860916138
5,500,11.995035171508789
5,100,6.591299057006836
5,10,6.679393768310547
2,1000,11.837854146957397
